well_id,name,block,district,lon,lat,formation,kind,depth_m,casing_m,status,swl_mbgl,discharge_lps,drawdown_m,transmissivity_m2day,storativity,flowing,coord_note,note,sources
potamda_bo_ew,Potamda Block Office EW,Potamda,East Singhbhum,86.38222,22.90333,metavolcanics,EW,200,13.5,meagre,6.6,,,,,,,,"P3 Annex-III p.49"
manusmuria_ew,Manusmuria EW,Baharagora,East Singhbhum,86.77778,22.36389,Tertiary,EW,121,,productive,12.34,15,10.98,209,1.3e-4,,,"Granular (sediment) zones, not fractures. The 2003 profile prints 57 m3/h and the zones as 32-36, 43-47.5, 50-54 and 71-78 m.","P3 Annex-III p.49; P3 Table 11 p.13; ESP Table 2 p.20"
baharagora_ew,Baharagora EW,Baharagora,East Singhbhum,86.73611,22.26944,Tertiary,EW,99.26,,productive,3.63,21,14.44,570.8,,,,"Tertiary in the pumping-test table (Table 11); listed as metasediments in Annexure III. The 2003 profile prints 78 m3/h and the zones as 20-25 and 61-73 m.","P3 Table 11 p.13; P3 Annex-III p.49; ESP Table 2 p.20"
ghoralinga_ew,Ghoralinga EW,Saraikela,Saraikela-Kharsawan,85.96833,22.66944,metasediments,EW,202,16,dry,,,,,,,,Metavolcanics in the geophysics table (Table 17).,"P3 Annex-III p.49; P3 Table 17 p.23"
dugni_ew,Dugni EW,Adityapur,Saraikela-Kharsawan,85.97361,22.75833,metasediments,EW,191.1,24.5,productive,,,,,,,,,"P3 Annex-III p.49"
kuchai_bo_ew,Kuchai Block Office EW,Kuchai,Saraikela-Kharsawan,85.74861,22.84167,Singhbhum granite,EW,200,30.45,productive,7.56,,20.73,14,,,,"Storativity printed as 1.24x10^3, which is not physical; not used.","P3 Annex-III p.49"
chouka_ew,Chouka Govt. High School EW,Chandil,Saraikela-Kharsawan,85.96356,22.95769,Singhbhum granite,EW,200,24.4,productive,,,,,,,,,"P3 Annex-III p.49"
murkum_ew,Murkum Panchayat Sachivalaya EW,Saraikela,Saraikela-Kharsawan,85.93333,22.70056,Singhbhum granite,EW,200,18.2,productive,,,,,,,,,"P3 Annex-III p.50"
rola_ew,Rola (Kartik Oraon Girls High School) EW,Rajnagar,Saraikela-Kharsawan,85.96844,22.61972,Singhbhum granite,EW,200,20.3,meagre,3.65,,,,,,,,"P3 Annex-III p.50"
purnadih_ew,Purnadih (Utkramit M. School) EW,Saraikela,Saraikela-Kharsawan,85.93306,23.06611,metasediments,EW,200,21,productive,3.3,,,,,,,,"P3 Annex-III p.50"
chandil_dam_ew,Chandil Swarnarekha Dam Campus EW,Chandil,Saraikela-Kharsawan,86.01562,22.9529,Singhbhum granite,EW,200,10,meagre,,,,,,,,,"P3 Annex-III p.50"
chaulibasa_ew,Chaulibasa (Govt. Middle School) EW,Chandil,Saraikela-Kharsawan,85.95182,22.95516,Singhbhum granite,EW,135.7,21,productive,6.2,,,,,,,,"P3 Annex-III p.50"
ichagarh_ew,Ichagarh (Birsa High School) EW,Ichagarh,Saraikela-Kharsawan,85.85002,22.97836,Singhbhum granite,EW,150,,dry,,,,,,,,,"P3 Annex-III p.50"
basahatu_ew,Basahatu (Utkramit M. School) EW,Ichagarh,Saraikela-Kharsawan,85.83403,22.99868,Singhbhum granite,EW,200,25.5,productive,5.6,,,,,,,,"P3 Annex-III p.50"
kharsawan_bsmtc_ew,Kharsawan Basic Seed Multiplication & Training Centre EW,Kharsawan,Saraikela-Kharsawan,85.825,22.781,Singhbhum granite,EW,181.4,13.5,productive,8.4,,,,,,,,"P3 Annex-III p.50"
chakradharpur_ew,Chakradharpur EW (PWD Guest House),Chakradharpur,West Singhbhum,85.61667,22.68333,Chakradharpur granite,EW,209.42,11.5,productive,6.9,1.2,34.46,2,,,,"Drilled 1987; the 2022 West Singhbhum report lists it twice (1987 EW and 2016-17 PWD Guest House, same depth and casing) and adds a shallow zone at 12.61-25.61 m.","P3 Annex-III p.50; P3 Table 11 p.12; West Singhbhum NAQUIM (2022) Annex-II p.61"
bandgaon_bo_ew,Bandgaon Block Office EW,Bandgaon,West Singhbhum,85.32647,22.85333,Singhbhum granite,EW,200,14.6,dry,,,,,,,,The 2022 West Singhbhum report lists the formation as Singhbhum Group.,"P3 Annex-III p.50; West Singhbhum NAQUIM (2022) Annex-II p.61"
matamkabera_ew,Matamkabera (Govt. Middle School) EW,Bandgaon,West Singhbhum,85.573,22.708,Singhbhum granite,EW,196.6,25.5,meagre,9.6,,,,,,,The 2022 West Singhbhum report lists the formation as Chakradharpur granite.,"P3 Annex-III p.50; West Singhbhum NAQUIM (2022) Annex-II p.61"
tantnagar_ew,Tantnagar Upgraded High School EW,Tantnagar,West Singhbhum,85.942,22.451,metasediments,EW,153,20.5,productive,8,,,,,,,"Casing, zones and SWL from the 2022 West Singhbhum report; the Phase III table prints only 1.8 (discharge, lps).","P3 Annex-III p.50; West Singhbhum NAQUIM (2022) Annex-II p.61"
purnia_ew,Purnia Govt. School EW,Khuntpani,West Singhbhum,85.761,22.668,metasediments,EW,153.8,24,productive,6.1,,,,,,,The 2022 West Singhbhum report prints SWL 11.2 m bgl.,"P3 Annex-III p.50; West Singhbhum NAQUIM (2022) Annex-II p.62"
kanimahuli_ew,Kanimahuli EW,Potka,East Singhbhum,86.21944,22.675,,EW,27.64,,abandoned,,,,,,,,,"ESP Table 2 p.20"
dabanki_ew,Dabanki (Bharat Sewashram Sangh) EW,Potka,East Singhbhum,86.275,22.62083,,EW,200.82,,unknown,,,,,,,,One unlabelled value (27) sits between columns in the source; not used.,"ESP Table 2 p.21"
sabarnagar_ew,Sabarnagar (Bharat Sewashram Sangh) EW,Potka,East Singhbhum,86.32222,22.55139,,EW,138.82,,unknown,,,,,,,,One unlabelled value (49) sits between columns in the source; not used.,"ESP Table 2 p.21"
barajuri_ew,Barajuri (Bharat Sewashram Sangh) EW,Chakulia,East Singhbhum,86.71944,22.45278,,EW,198,,unknown,,,,,,,,One unlabelled value (5) sits between columns in the source; not used.,"ESP Table 2 p.21"
kendadih_ew,Kendadih (GSI Camp) EW,Mosabani,East Singhbhum,86.41306,22.60833,,EW,200.82,,unknown,,,,,,,,One unlabelled value (2.7) sits between columns in the source; not used. Same printed position as Pathargora.,"ESP Table 2 p.21"
pathargora_ew,Pathargora (GSI Camp) EW,Mosabani,East Singhbhum,86.41306,22.60833,,EW,201,,unknown,,,,,,,,One unlabelled value (0.78) sits between columns in the source; not used. Same printed position as Kendadih.,"ESP Table 2 p.22"
sonari_ew,Sonari (Bharat Sewashram Sangh) EW,Jamshedpur,East Singhbhum,86.16806,22.83889,granite gneiss,EW,196.75,19.98,unknown,,,,,,,,"Depth, casing and an unlabelled 12.02 are identical to the Potka block-office row, possibly a copying error in the source; the 12.02 is not used.","ESP Table 2 p.22"
shastrinagar_ew,Shastrinagar Block 3 EW,Jamshedpur,East Singhbhum,86.275,22.70111,,EW,196.75,12.85,unknown,,,,,,,,One unlabelled value (2.7) sits between columns in the source; not used.,"ESP Table 2 p.22"
potka_bo_ew,Potka Block Office EW,Potka,East Singhbhum,86.23611,22.62083,,EW,196.75,19.98,unknown,,,,,,,,One unlabelled value (12.02) sits between columns in the source; not used.,"ESP Table 2 p.22"
sidgora_ew,Sidgora EW,Jamshedpur,East Singhbhum,86.44111,22.55833,,EW,,,abandoned,,,,,,,,,"ESP Table 2 p.22"
parsudih_ew,Parsudih / Kalimati EW,Jamshedpur,East Singhbhum,86.235,22.71833,,EW,60,15,abandoned,,,,,,,,,"ESP Table 2 p.22"
chakulia_ew,Chakulia EW,Chakulia,East Singhbhum,86.72222,22.48889,,EW,,,productive,23.04,5,13.64,,,,,Discharge 18 m3/h as printed.,"ESP Table 2 p.21"
amd_jamshedpur_ew,"AMD Campus, Jamshedpur EW",Jamshedpur,East Singhbhum,,,metasediments,EW,196,41.7,productive,12.4,,8.2,101,,,"published position (84.81986, 23.53667) lies about 150 km from Jamshedpur, so it is not placed","Storativity printed as 7.44x10^3, which is not physical; not used.","P3 Annex-III p.49"
mahulbera_ew,Mahulbera (Govt. High School) EW,Mosabani,East Singhbhum,,,Singhbhum granite,EW,190.6,,productive,8.02,6.6,24.82,38.64,1.7e-4,,no position published,,"P3 Table 11 p.13; P3 Fig. 22"
potka_ew_apt,Potka EW (pumping test),Potka,East Singhbhum,,,Singhbhum granite,EW,198.7,,productive,4.89,5.2,9.5,26.48,,,no position published,Possibly the Potka block-office well (196.75 m in the 2003 profile); not merged.,"P3 Table 11 p.13"
kandra_ew,Kandra EW,,,,,Singhbhum granite,EW,196.7,,productive,8.5,3,20.51,2.69,8.32e-4,,no position published,Block and district not printed with the test.,"P3 Table 11 p.13"
uliyan_ew,Uliyan EW,,,,,Singhbhum granite,EW,190.7,,productive,11.5,4,19.47,15.5,,,no position published,"Block and district not printed with the test (the section B-B' label reads ""Uliyan Kadma"").","P3 Table 11 p.13; P3 p.30"
