porosity,hydraulic_conductivity,transmissivity,specific_yield,storage_coefficient,dtw_decadal_avg,thickness,transmissivity_to_porosity_ratio,distance_to_nearest_isr_km,nearest_isr_injection_rate,well_depth,month,year,vulnerability_proxy,aquifer_type,season,__target_tds__,__target_class__,__sample_id__,__well_id__,__sampled_at__,__synthetic__
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,149.5,safe,09b761ed-cc4a-4c61-a1e6-ff336ba9f0ef,fbdea873-cb0f-4208-b4db-20baf36ddd33,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,319.8,safe,fd21bf67-07b6-4db4-aaf3-b97a369b1b9c,03ca18a3-516b-4995-8923-7ac88cc06b4e,2023-01-01,False
0.04,0.1,-19.5,5.0,,-2.5,102.5,-487.48781280467983,,,,1,2023,-0.001025641057725183,gneiss,post_monsoon,598.0,marginal,85d901af-2cf3-4f5d-8106-e2995d58fdd4,6310448a-a2b9-4fb0-b0fd-9d144baf8564,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,660.4,marginal,9ab250f9-72c8-44b6-b623-913019cc0451,7b7a6a3c-df5c-4c26-9932-ee037efedd9e,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,734.5,marginal,a504c61e-7699-4a1f-8c18-db752e433abd,dc722a74-c6a1-4193-bea9-62301c94c8de,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,565.5,marginal,a5da0969-0bc2-41f0-9ad5-4290456cf5d4,f49154b6-9729-4116-86b1-5efd461cb3bc,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,923.0,marginal,b5633ffe-7ec0-414b-898e-6aaf5f538b92,52447b8d-1437-411e-9f44-c9233045ec08,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,1045.8500000000001,unsafe,8eb58a93-f218-4e8f-8a57-3cad5b51f881,f75cd5ba-15e9-4fd0-a9a7-7a8bde1d9270,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,1151.15,unsafe,6b8c5499-c305-4ffc-831a-532c9db69edb,7bbbee0e-258b-4799-8e4f-cb1b57c2bed9,2023-01-01,False
0.3,5.0,295.0,8.0,,-2.5,-95.0,983.3300555664815,,,,1,2023,6.779660858374034e-05,alluvium,post_monsoon,378.95,safe,a83236fb-cc75-466c-8702-73ad913b76ff,cda5e3e1-ee9f-4a3b-8922-1827afcfef71,2023-01-01,False
0.2,0.5,-100.0,3.0,,-2.5,240.0,-499.9975000124999,,,,1,2023,-0.00019999999800000007,sandstone,post_monsoon,1084.2,unsafe,d0e1d962-1cdf-4fe5-b9cf-df8666600d1b,26b81ffa-3738-46db-8c3d-8b1738db8ac2,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,313.95,safe,4d16ec3b-b226-4714-a932-3951d938a294,d0b81ef3-33fe-46a9-94f7-5cc3d5c8152d,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,280.15000000000003,safe,b6019009-e798-4a88-a9fb-d67444ac477a,b30f714c-6722-4bbb-960a-ab39fd25596b,2023-01-01,False
0.3,5.0,295.0,8.0,,-2.5,-95.0,983.3300555664815,,,,1,2023,6.779660858374034e-05,alluvium,post_monsoon,696.15,marginal,286cc43e-8525-4497-ac97-5189ec5aed43,d18ece7d-459d-4fd1-a33c-3b5064813bb6,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,291.2,safe,e2851748-be7f-4215-8cac-a611bfd8a5b9,4d427a6c-72ad-4b95-94d4-02ff62cbb61d,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,386.75,safe,8857cd71-da8f-4b8f-9dce-6a4f63a706a3,5d20c887-2383-48da-b5df-6c9cc1531002,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,752.7,marginal,18fc5825-785c-4091-be25-96230ad74619,955e52c7-2aa3-457a-9a71-16bf0c20f0e3,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,447.85,safe,da7cd949-6fa5-4e72-9653-a7eaf50a6c67,e4ad10dd-8005-455f-8879-451ca21c4464,2023-01-01,False
0.04,0.1,-19.5,5.0,,-2.5,102.5,-487.48781280467983,,,,1,2023,-0.001025641057725183,gneiss,post_monsoon,887.25,marginal,1bde559e-634d-4362-808c-eebe2a1c1397,f59a299c-0776-4002-9700-227b09dfc28e,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,889.85,marginal,6f41122b-d710-4558-9e08-51d452da5fbb,631e520f-689f-4bed-9dd7-e1eaea640399,2023-01-01,False
0.2,0.5,-100.0,3.0,,-2.5,240.0,-499.9975000124999,,,,1,2023,-0.00019999999800000007,sandstone,post_monsoon,1246.05,unsafe,11bad603-89bc-41ac-ad69-bc7f790d972f,918e2a91-d820-4ea8-976d-f19495376c23,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,780.65,marginal,e8ed0eab-7ea1-49d6-8157-641f0e35745a,1f78c9da-4277-41dc-8c75-c18d745bb28a,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,828.75,marginal,003a54f0-4d3d-4533-abd2-ab21c90c4d9c,c46b91df-3391-40aa-9e60-fa493bf920f0,2023-01-01,False
0.2,0.5,-100.0,3.0,,-2.5,240.0,-499.9975000124999,,,,1,2023,-0.00019999999800000007,sandstone,post_monsoon,445.25,safe,3a298303-9d15-4ac8-a6b6-c4c34936a024,a788197a-c8dd-40f5-9757-7cfca17c2a54,2023-01-01,False
0.3,5.0,295.0,8.0,,-2.5,-95.0,983.3300555664815,,,,1,2023,6.779660858374034e-05,alluvium,post_monsoon,510.25,marginal,1494f238-051d-4c28-bf69-9af0bf1d244d,d2929643-5910-4b41-ad4f-7d85883ba47d,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,1125.15,unsafe,2e36db6c-6a2f-4404-9e32-cb6d8a395858,4f8a675d-3274-4bd8-a9f5-b5ea5403a652,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,248.3,safe,3053df23-56d6-4c41-beab-62fe48af0380,a8f64e4a-e66c-44e2-87a3-164633eb6b90,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,728.65,marginal,49f24b65-a5ff-4477-a79f-b3a6ed5e6034,cd4a911a-0612-4dda-bcf9-30e37e7193cf,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,628.5500000000001,marginal,9d144818-2507-4dc5-825c-804344faa398,c3ea5913-a3a9-4d48-8656-e6d2b3cf8998,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,373.1,safe,c836d955-5922-4dd0-a8d2-a924cd77d04e,39a3b221-e9d7-4132-9e55-188703a9e642,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,419.25,safe,c4ab7ee0-885c-428a-815b-1b1f0ff7e331,311c5661-bc86-4268-bc91-6e7cfee66a96,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,261.95,safe,346a0477-e599-44d5-8600-3efbd904e5d8,f142e295-5264-4c54-9764-8eef6de49de1,2023-01-01,False
0.2,0.5,-100.0,3.0,,-2.5,240.0,-499.9975000124999,,,,1,2023,-0.00019999999800000007,sandstone,post_monsoon,729.95,marginal,78c15bc4-d298-474c-806e-cbc88dc5d1ca,8424503f-7037-46e3-9698-efe3c1fd23cb,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,612.95,marginal,3f6f5d24-3209-40a6-9cfa-0cb7234133af,ff8add51-5cb4-4877-bfc2-f10cbe060959,2023-01-01,False
0.2,0.5,-100.0,3.0,,-2.5,240.0,-499.9975000124999,,,,1,2023,-0.00019999999800000007,sandstone,post_monsoon,1104.3500000000001,unsafe,83a889ef-0fe7-40fd-ac84-f06cd7a9bf1e,65954c1d-e7ca-4622-899f-75adcd9fe93a,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,575.25,marginal,fb9e2a2c-1a4b-4f79-a2d2-004c914394d9,568eea0e-4bb0-41d6-91a6-bd94546e6712,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,397.15000000000003,safe,a1c5b5f0-c30b-42ff-9f90-ba53e0ccc842,cf9a6f64-711c-4fbb-8435-a580c896b14b,2023-01-01,False
0.2,0.5,-100.0,3.0,,-2.5,240.0,-499.9975000124999,,,,1,2023,-0.00019999999800000007,sandstone,post_monsoon,458.25,marginal,a3d192c7-610e-4565-b16c-dd87d75b434d,be14e481-0e2d-4628-b492-ca0e69b37aba,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,341.25,marginal,9e59dd78-9714-4479-afe4-f94e0b0c5283,0f502929-96f6-459c-9d25-022aeb7fa78e,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,1053.65,unsafe,e67b0303-2f05-444b-8ed1-0195ac899740,1089832a-2a6f-4f08-a416-5849ed5e17f1,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,1132.95,unsafe,ee098d40-2f39-440a-b389-4b3b03c30950,c5d8a2d0-dd91-416e-8867-54623c97c898,2023-01-01,False
0.2,0.5,-100.0,3.0,,-2.5,240.0,-499.9975000124999,,,,1,2023,-0.00019999999800000007,sandstone,post_monsoon,293.8,marginal,0c480b94-c0f3-455e-87cc-2b68414a8f4a,31dad530-4a93-47a7-a458-0e456f7399bd,2023-01-01,False
0.2,0.5,-100.0,3.0,,-2.5,240.0,-499.9975000124999,,,,1,2023,-0.00019999999800000007,sandstone,post_monsoon,478.40000000000003,marginal,50aaad51-ed8c-4db5-8358-0351621d1911,cedd3a90-4e5a-4ec2-9c2a-4c11bf13906d,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,555.75,marginal,d662d753-f605-4f26-a23d-1ffe84e900a9,15e88442-0081-4d89-b9c7-c37a7664bc45,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,644.15,marginal,ae687e44-aa08-4713-96fc-6652818396a6,27e20ed0-0950-4cd8-94ce-97c5538fc515,2023-01-01,False
0.2,0.5,-100.0,3.0,,-2.5,240.0,-499.9975000124999,,,,1,2023,-0.00019999999800000007,sandstone,post_monsoon,819.65,marginal,98d44b6b-d153-4905-b9d0-b54ff0f572b2,4708a072-b662-465d-9d3b-5118efdb66ad,2023-01-01,False
0.2,0.5,-100.0,3.0,,-2.5,240.0,-499.9975000124999,,,,1,2023,-0.00019999999800000007,sandstone,post_monsoon,625.3000000000001,marginal,f4c26fbf-b0a8-4236-b421-49f081d8e95f,0766b356-3c32-439b-b95b-9ce79fde1f2f,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,1121.25,unsafe,9bd8ec07-5ca6-4f6d-a5db-b9b4f809ca31,238719a7-bac8-45a3-a537-c92a6fb88d6f,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,789.1,marginal,526d745e-21ec-4569-ad09-8f2b694059d7,18fff53c-6a4a-4c50-b704-b07c5154cc16,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,659.75,marginal,89cdf334-2471-4014-8187-65b814f168a7,732e8dbd-d1af-4e73-ae5b-d62bdaff26ce,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,553.15,marginal,d74eb7d3-d53f-4ca4-b9bf-b5a6d87b4ada,88c9119e-05cf-4f19-ab8b-9c82ace95beb,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,301.6,safe,037f5a58-b7c3-4a31-8b92-608339a7f29c,b07205e0-5e5b-4761-ae72-07e7e7c71b70,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,576.5500000000001,marginal,7955fad5-659c-4d0e-9e8b-60b0b5263f78,ba277437-72fc-46f4-967c-dd8a4d615eeb,2023-01-01,False
0.2,0.5,-100.0,3.0,,-2.5,240.0,-499.9975000124999,,,,1,2023,-0.00019999999800000007,sandstone,post_monsoon,141.70000000000002,safe,d3dc0c28-fcd4-45c1-b0bb-4801eecfeff3,c8805854-4e38-4f57-bcd1-62efd407250e,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,527.8000000000001,marginal,a028756f-9e88-4919-b6d6-4b6c21b1245b,3f2ba595-c068-482c-aa11-1e4d1d8b04dc,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,484.25,safe,1dc9b65f-d6a0-4247-a16b-27016ad6ef2f,fdc6bbf1-2ce4-46a1-bbe0-71489be9df76,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,205.4,safe,34f25bcd-f0ad-4f97-bd0a-c2f4b410c717,94a6458c-e8da-4404-86c4-3e65c7a76cd3,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,713.7,marginal,adaabc23-d268-485e-96aa-41f16d888e10,ea97bad2-6783-40d5-8250-58bdaf9f4ce0,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,269.75,safe,35baa290-dde2-4e37-8557-76e443efa5a6,59286c4e-d193-4f62-915b-bf6a698e3a96,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,571.35,marginal,4548feee-4ed9-4b23-9ade-5bfeda1c08d2,21c3b9e0-d8e4-43df-9136-f07913a3b53a,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,491.40000000000003,safe,2442bfc6-b5b2-44bc-a4d9-bc33092d85d4,cd19aa08-b972-4443-9f3e-89e9ca90c149,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,623.35,marginal,c807edf4-ff1f-462e-8743-8455bff9628a,290d37f0-5866-4da0-989b-4e6f85bd997b,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,126.75,safe,f713fbcb-ba39-4927-a612-92ef2401c7c2,80b92feb-1561-450d-b58d-e36d5512fe7a,2023-01-01,False
0.03,0.05,-73.0,,,-2.5,122.5,-2433.252224925836,,,,1,2023,-0.0002739726010133234,charnockite,post_monsoon,123.5,safe,4065c6ef-8232-4b08-a19b-1ea7b76d5728,0156d5c5-1bd9-4c78-92d6-0ace50e022da,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,227.5,safe,98730b4e-acc1-4a03-9192-ccd9ac2a3458,8e83f020-99d9-4538-a16f-85efde1df0fa,2023-01-01,False
0.04,0.08,94.0,2.0,,-5.0,,2349.9412514687133,,,,1,2023,0.00021276595092802189,basement_gneissic_complex,post_monsoon,670.15,marginal,050d505e-d3f2-40af-a259-299fe1c0fc26,f2200cf7-ad0a-421f-adb6-f06bc689f1cb,2023-01-01,False
0.3,5.0,295.0,8.0,,-2.5,-95.0,983.3300555664815,,,,1,2023,6.779660858374034e-05,alluvium,post_monsoon,763.1,marginal,22f3c146-5e89-4370-82ac-b508a494650e,39102f52-65b9-4b63-bfa4-a9260659c865,2023-01-01,False
0.3,5.0,295.0,8.0,,-2.5,-95.0,983.3300555664815,,,,1,2023,6.779660858374034e-05,alluvium,post_monsoon,110.5,safe,27fd5434-3017-497a-ab6e-606c7d29b5d2,711ce9ea-e14a-4804-95a5-09bf89bf6dbd,2023-01-01,False
0.02,0.02,-60.0,-0.75,,7.5,-17.5,-2999.850007499625,,,,1,2023,-0.0003333333322222224,quartzite,post_monsoon,167.05,safe,ee333d9e-744e-4151-972d-e15ad4f20abc,cd7b4a8c-4e4f-4bc2-8868-3f2ff91e4ddc,2023-01-01,False
0.04,0.08,42.0,1.5,,7.5,-82.5,1049.9737506562335,,,,1,2023,0.00047619045532879895,schist,post_monsoon,141.05,safe,8777a7e9-36b9-450e-abd6-21e804c7aa4b,16133f3d-0f21-4582-9291-2593d2b701e5,2023-01-01,False
0.3,5.0,295.0,8.0,,-2.5,-95.0,983.3300555664815,,,,1,2023,6.779660858374034e-05,alluvium,post_monsoon,190.45000000000002,safe,4b5af73c-151b-44bb-9234-33e814f32362,20ea7430-389e-477d-b2d2-b50dcc7e3582,2023-01-01,False
0.3,5.0,295.0,8.0,,-2.5,-95.0,983.3300555664815,,,,1,2023,6.779660858374034e-05,alluvium,post_monsoon,484.25,safe,ba54d704-6f44-46a8-9c8d-8710a466459a,4c00fdf4-687e-49c8-a61f-9ce593365571,2023-01-01,False
0.3,5.0,295.0,8.0,,-2.5,-95.0,983.3300555664815,,,,1,2023,6.779660858374034e-05,alluvium,post_monsoon,197.6,safe,c68fb1c1-07ae-4dea-834c-8dc1fa92ffcf,07fe9311-476b-4979-93dd-77bbb5d1e991,2023-01-01,False
0.3,5.0,295.0,8.0,,-2.5,-95.0,983.3300555664815,,,,1,2023,6.779660858374034e-05,alluvium,post_monsoon,379.6,safe,8327171e-c517-4fff-93bc-3727877e39dc,94fe03f6-dc68-40b5-ba3b-a24027942d5e,2023-01-01,False
0.02,0.02,-60.0,-0.75,,7.5,-17.5,-2999.850007499625,,,,1,2023,-0.0003333333322222224,quartzite,post_monsoon,837.85,marginal,d8dbadff-d8ed-4eff-bb0a-071dd24efce2,9bdce88d-e1eb-4e8a-8aa3-d83e0653a991,2023-01-01,False
0.04,0.08,42.0,1.5,,7.5,-82.5,1049.9737506562335,,,,1,2023,0.00047619045532879895,schist,post_monsoon,184.6,safe,3ae2df19-16b2-4d8b-9d75-6647db204afb,7b45ee8e-aeeb-4fd0-b41e-54394272b4b9,2023-01-01,False
0.04,0.08,42.0,1.5,,7.5,-82.5,1049.9737506562335,,,,1,2023,0.00047619045532879895,schist,post_monsoon,648.7,marginal,e1586fc0-2abf-4332-8eca-06834abe8882,eb48e304-12cd-4e8f-8021-fa91fbee4c63,2023-01-01,False
0.04,0.08,42.0,1.5,,7.5,-82.5,1049.9737506562335,,,,1,2023,0.00047619045532879895,schist,post_monsoon,441.35,safe,1004af84-1a48-4472-beb8-54042167c44e,3b5bf3d8-9f45-44be-b419-24ad40c53e94,2023-01-01,False
0.04,0.08,42.0,1.5,,7.5,-82.5,1049.9737506562335,,,,1,2023,0.00047619045532879895,schist,post_monsoon,851.5,marginal,7d7283d9-e388-4601-8587-4b4373004841,695e5363-e449-45d2-ba42-edbb45a119e9,2023-01-01,False
0.04,0.08,42.0,1.5,,7.5,-82.5,1049.9737506562335,,,,1,2023,0.00047619045532879895,schist,post_monsoon,1283.1000000000001,unsafe,dbbb2af3-756a-4749-a5a3-6933860b8cd6,653b739a-15ce-432c-a27f-abe1097ad06a,2023-01-01,False
0.04,0.08,42.0,1.5,,7.5,-82.5,1049.9737506562335,,,,1,2023,0.00047619045532879895,schist,post_monsoon,531.7,marginal,d3659860-0507-4821-8e7a-cd1f6955d16c,0f3a010c-6c7a-4dbe-aaa0-517aa1ea55f1,2023-01-01,False
0.04,0.08,42.0,1.5,,7.5,-82.5,1049.9737506562335,,,,1,2023,0.00047619045532879895,schist,post_monsoon,936.65,marginal,f279f2ce-b669-43a1-8543-0ba046d7e4e0,1d5f42a3-d7ae-4903-b625-ed4d194de3f7,2023-01-01,False
0.04,0.08,42.0,1.5,,7.5,-82.5,1049.9737506562335,,,,1,2023,0.00047619045532879895,schist,post_monsoon,682.5,marginal,2b0f2afe-7e2d-4523-8451-707d25f68d4f,4b8800e1-869f-4103-9491-80a19b7d90fc,2023-01-01,False
0.04,0.08,42.0,1.5,,7.5,-82.5,1049.9737506562335,,,,1,2023,0.00047619045532879895,schist,post_monsoon,584.35,marginal,c17b8af1-f955-4cf5-bfaf-8c00be08b463,a1a57d06-6b71-4884-b761-4b3c6f1e9930,2023-01-01,False
0.04,0.08,42.0,1.5,,7.5,-82.5,1049.9737506562335,,,,1,2023,0.00047619045532879895,schist,post_monsoon,449.15000000000003,safe,5c1ea384-6787-4318-84e8-4bb0e4528e07,e996ae36-6898-4596-8aaa-1729d33150d9,2023-01-01,False
0.04,0.08,42.0,1.5,,7.5,-82.5,1049.9737506562335,,,,1,2023,0.00047619045532879895,schist,post_monsoon,480.35,safe,f5ab4649-331d-4780-ad35-d489e0e96156,f2d352f0-3a95-447c-802c-4db3a5a4795e,2023-01-01,False
0.04,0.08,42.0,1.5,,7.5,-82.5,1049.9737506562335,,,,1,2023,0.00047619045532879895,schist,post_monsoon,195.0,safe,f3104f64-b6ea-462f-bf24-030718bf3db7,1aa82ac1-f85e-488f-9fb8-b76b35c925f8,2023-01-01,False
