ph,ec_us_cm,tds_mg_l,uranium_ppb,nitrate_mg_l,fluoride_mg_l,chloride_mg_l,sulphate_mg_l,total_hardness,calcium_mg_l,magnesium_mg_l,sodium_mg_l,potassium_mg_l,bicarbonate_mg_l,carbonate_mg_l,phosphate_mg_l,arsenic_ppb,iron_ppm,do_mg_l,turbidity_ntu,sampled_at,well_index,well_name,latitude,longitude,synthetic
7.91,643.0,412.75,0.26,13.0,0.51,110.0,53.0,230.0,58.0,21.0,50.0,1.0,128.0,0.0,0.0,0.0,0.29878743128346374,3.703447318990146,4.92381872100724,2025-11-02T00:00:00+00:00,4,SYN-WELL-0004,24.418078825192172,83.73792466767758,True
7.56,395.0,516.7976524341184,0.33,0.0,0.95,50.0,24.0,195.0,88.0,10.0,13.0,1.0,146.0,0.0,0.14,4.454827347755513,0.8509796863713583,7.463140879796754,2.6725157076224364,2024-08-19T00:00:00+00:00,38,SYN-WELL-0038,22.514451226617606,84.35512847308661,True
7.76,673.0,820.1615897668977,0.0,35.0,0.0,78.0,49.0,270.0,82.0,19.0,30.0,0.0,165.0,0.0,0.0,0.0,0.11566228765179837,0.0,0.6936459697800346,2025-01-30T00:00:00+00:00,31,SYN-WELL-0031,23.372354015040244,87.79892025581908,True
7.59,622.0,616.969733525341,0.0,5.0,0.31,110.0,10.0,225.0,28.0,30.0,40.0,1.0,177.0,0.0,0.27,11.613670848598755,0.07660812945844908,4.6029648212430825,2.1597155201498777,2023-02-09T00:00:00+00:00,5,SYN-WELL-0005,24.682551608576887,87.83664393511091,True
7.86,641.0,725.6867461649567,7.35,42.0,0.24,82.0,85.0,250.0,64.0,28.0,15.0,7.0,122.0,0.0,0.11,4.003181245198598,0.0,5.317405030556174,0.0,2025-02-01T00:00:00+00:00,24,SYN-WELL-0024,22.15405959591173,86.919483261393,True
7.62,3044.0224953550414,1266.6831755251292,61.61496940092467,35.0,0.15,53.0,78.0,385.0,90.0,29.0,49.0,6.0,360.0,0.0,0.0,3.0899402614402773,0.049795222176015286,4.210060806268355,6.867793330130502,2025-07-17T00:00:00+00:00,23,SYN-WELL-0023,22.768788200528693,87.45301321414823,True
8.11,202.0,500.0,1.7,0.0,0.7,18.0,3.0,80.0,32.0,5.0,10.0,2.0,79.0,0.0,0.0,7.550806113586047,1.274223227054733,6.954381913916102,0.0,2025-10-02T00:00:00+00:00,0,SYN-WELL-0000,22.64967870866288,86.89889562578523,True
7.58,395.0,254.15,0.24,33.0,0.29,43.0,8.0,150.0,28.0,9.0,14.0,3.0,146.0,0.0,0.0,0.0,0.5136482059349337,7.563649111146853,2.629411779057201,2023-04-02T00:00:00+00:00,30,SYN-WELL-0030,24.275097391145856,86.76314402497135,True
7.76,745.0,491.40000000000003,2.65,25.0,0.39,89.0,78.0,290.0,68.0,29.0,29.0,1.0,250.0,0.0,0.0,0.0,0.0,2.8583288768168735,6.092180165924132,2023-09-08T00:00:00+00:00,19,SYN-WELL-0019,23.478510862313268,86.2372394559176,True
8.04,1535.7435332971238,1007.8578789766634,28.586968998990503,40.0,0.75,36.0,18.0,160.0,36.0,18.0,4.0,0.0,55.0,0.0,0.21,6.450109476649821,1.315300780910254,9.168275976787449,6.857586868399645,2023-02-21T00:00:00+00:00,43,SYN-WELL-0043,23.283574291337686,84.75250488242649,True
7.15,517.0,336.7,0.0,15.0,0.57,25.0,16.0,240.0,62.0,12.0,18.0,2.0,256.0,0.0,0.05,0.0,0.040350548557868904,2.838134116163672,0.0,2025-10-02T00:00:00+00:00,5,SYN-WELL-0005,24.682551608576887,87.83664393511091,True
7.99,1093.0,899.1139174636999,2.88,5.0,0.11,117.0,35.0,315.0,36.0,66.0,95.0,2.0,397.0,0.0,0.02,0.0,1.4439689056377258,7.719535227016515,3.132607699099689,2023-10-28T00:00:00+00:00,42,SYN-WELL-0042,23.511546964509108,86.55623272431046,True
7.81,483.0,500.0,13.16,4.0,0.5,46.0,13.0,160.0,22.0,24.0,42.0,2.0,189.0,0.0,0.0,9.020536187325327,1.4325248845300704,5.66968985736425,5.3389787977952885,2024-08-04T00:00:00+00:00,0,SYN-WELL-0000,22.64967870866288,86.89889562578523,True
8.04,453.0,293.8,0.25,6.0,0.3,32.0,6.0,170.0,24.0,22.0,34.0,6.0,177.0,0.0,0.0,7.15038465990364,0.48920813846226807,4.4933380251951345,3.708064437049307,2024-06-04T00:00:00+00:00,38,SYN-WELL-0038,22.514451226617606,84.35512847308661,True
7.78,2235.0,1452.75,1.75,44.0,0.32,430.0,127.0,560.0,100.0,95.0,173.0,29.0,384.0,0.0,0.0,0.0,0.0,4.663139526583495,8.87629983069418,2025-01-24T00:00:00+00:00,39,SYN-WELL-0039,23.703656712861772,86.41463507527368,True
8.06,920.0,948.4558137590668,0.91,39.0,0.88,107.0,90.0,250.0,68.0,21.0,90.0,11.0,287.0,0.0,0.09,0.28518374235198163,2.0526504307420286,5.339676976811435,0.21277240034159073,2025-09-07T00:00:00+00:00,20,SYN-WELL-0020,22.701046354868353,86.82510799139699,True
8.12,1395.0,899.6,3.94,35.0,0.39,142.0,98.0,485.0,110.0,55.0,90.0,26.0,409.0,0.0,0.0,0.0,0.7210932393851823,5.775152151354808,0.0,2023-12-21T00:00:00+00:00,14,SYN-WELL-0014,24.171514120002065,85.36187602454709,True
6.53,1219.0,792.35,0.91,17.0,0.26,142.0,62.0,450.0,122.0,29.0,71.0,20.0,500.0,0.0,0.19,14.657915788243482,0.22327908269558694,3.7437221675312546,6.7413040670740845,2025-05-15T00:00:00+00:00,7,SYN-WELL-0007,23.940594185835128,86.95519901953784,True
7.82,852.0,791.4608374154409,0.46,54.0,0.81,82.0,34.0,275.0,88.0,15.0,56.0,10.0,293.0,0.0,0.0,9.43606256542365,1.119289540342539,4.9789080761788975,1.3516555215260495,2023-11-15T00:00:00+00:00,16,SYN-WELL-0016,23.907225062608948,85.87881925962363,True
7.96,1731.0,1000.0,3.43,33.0,0.22,153.0,58.0,540.0,144.0,53.0,110.0,26.0,628.0,0.0,0.21,1.4749309239683561,0.9416119509149431,4.01278891873033,0.0,2023-08-05T00:00:00+00:00,33,SYN-WELL-0033,22.534405219676962,85.02263763306215,True
7.82,190.0,500.0,0.42,4.0,0.41,11.0,7.0,55.0,12.0,4.0,9.0,1.0,67.0,0.0,0.0,7.457168136060956,1.3676568449205082,3.2129108512670292,2.8659504377341047,2023-04-27T00:00:00+00:00,36,SYN-WELL-0036,24.478257727087573,83.90413499980994,True
7.46,1271.4208920985488,958.4004057997311,53.14950036607718,43.0,0.0,85.0,5.0,210.0,42.0,26.0,7.0,2.0,67.0,0.0,0.17,0.0,0.0,3.9288389355757856,8.422231903726805,2024-02-12T00:00:00+00:00,9,SYN-WELL-0009,22.350855257375905,85.39429461121439,True
7.79,838.0,890.9397418882611,2.14,5.0,0.61,110.0,55.0,300.0,46.0,39.0,76.0,2.0,262.0,0.0,0.14,0.0,0.6729313889420746,3.330045661148209,0.0,2024-09-05T00:00:00+00:00,0,SYN-WELL-0000,22.64967870866288,86.89889562578523,True
7.88,1208.0,1000.0,0.91,12.0,1.28,89.0,51.0,485.0,106.0,41.0,55.0,5.0,470.0,0.0,0.13,4.629179595651317,0.0,4.643721157049066,12.84398381578907,2025-05-04T00:00:00+00:00,28,SYN-WELL-0028,23.899612533194475,84.0174461381141,True
8.18,331.0,214.5,5.54,34.0,0.54,25.0,26.0,150.0,34.0,10.0,24.0,1.0,122.0,0.0,0.0,6.713384494875477,0.9164340770188639,6.178454829843148,0.14847362185335244,2025-07-17T00:00:00+00:00,29,SYN-WELL-0029,24.693643731872445,86.47617763257742,True
7.84,1148.0,734.5,12.36,17.0,0.8,78.0,59.0,400.0,100.0,27.0,92.0,12.0,506.0,0.0,0.0,3.4152452469193353,0.4339382412609688,5.617278637520332,3.8480434165029997,2024-07-31T00:00:00+00:00,49,SYN-WELL-0049,25.3166418259233,83.94984904878329,True
7.92,737.0,681.2681339693811,0.0,11.0,0.75,39.0,25.0,215.0,30.0,29.0,55.0,1.0,329.0,0.0,0.08,5.488081064285356,0.6467064788407685,8.953820597989171,0.0,2024-03-23T00:00:00+00:00,38,SYN-WELL-0038,22.514451226617606,84.35512847308661,True
8.02,1265.0,1000.0,0.0,34.0,0.26,174.0,73.0,385.0,78.0,56.0,95.0,20.0,378.0,0.0,0.0,4.470018759718758,0.34755519331167084,1.4211845753041499,3.666441394784057,2023-07-11T00:00:00+00:00,27,SYN-WELL-0027,24.266707801544133,83.50368751091061,True
8.1,1998.9223413050454,1084.0236474710557,27.69618039413735,13.0,0.55,36.0,5.0,110.0,20.0,16.0,18.0,2.0,110.0,0.0,0.0,3.0185355878660958,0.27430782558814726,6.24481373918554,2.9650087129652922,2025-09-27T00:00:00+00:00,29,SYN-WELL-0029,24.693643731872445,86.47617763257742,True
8.23,1019.0,667.5500000000001,1.82,53.0,0.65,82.0,11.0,360.0,68.0,40.0,44.0,2.0,445.0,0.0,0.11,2.223126446854638,0.0,5.411556429343834,0.0,2024-03-09T00:00:00+00:00,32,SYN-WELL-0032,24.79907134633112,84.8150879153424,True
7.88,892.0,583.0500000000001,0.25,15.0,1.56,28.0,94.0,215.0,56.0,12.0,95.0,19.0,427.0,0.0,0.0,1.442410763933295,1.0033011502789635,6.868206616269541,14.80330787580364,2025-04-17T00:00:00+00:00,22,SYN-WELL-0022,24.936910756438582,87.8137458134363,True
7.82,418.0,272.35,3.03,4.0,0.16,32.0,8.0,160.0,20.0,26.0,24.0,9.0,220.0,0.0,0.0,5.391625051771529,1.4927928257190064,6.689637367758737,1.5186513239252215,2024-11-16T00:00:00+00:00,33,SYN-WELL-0033,22.534405219676962,85.02263763306215,True
7.89,1095.0,920.9044487936958,0.0,23.0,0.38,181.0,21.0,275.0,40.0,33.0,131.0,19.0,317.0,0.0,0.0,6.464893535196737,0.06033214876294035,5.103014849756682,1.5221497707758858,2025-10-16T00:00:00+00:00,9,SYN-WELL-0009,22.350855257375905,85.39429461121439,True
7.69,1217.0,792.35,0.56,36.0,0.95,174.0,42.0,450.0,72.0,77.0,55.0,11.0,403.0,0.0,0.31,5.190155003913004,0.8374783534797664,5.710772312742161,7.376143517414618,2025-12-01T00:00:00+00:00,41,SYN-WELL-0041,24.387121312772074,87.17195361166894,True
7.6,730.0,464.75,3.96,5.0,0.36,75.0,11.0,210.0,30.0,29.0,49.0,0.0,268.0,0.0,0.0,0.0,0.7525285372621696,4.060675416746728,10.757019533393876,2025-02-12T00:00:00+00:00,43,SYN-WELL-0043,23.283574291337686,84.75250488242649,True
7.91,245.0,158.6,0.0,19.0,0.81,39.0,13.0,85.0,14.0,13.0,13.0,8.0,55.0,0.0,0.12,0.0,0.45566846794420107,6.504623962838018,8.005747472017212,2024-12-25T00:00:00+00:00,21,SYN-WELL-0021,23.379850253036224,84.94854575180389,True
7.92,352.0,502.0823147456823,0.25,3.0,0.95,18.0,23.0,175.0,30.0,21.0,6.0,0.0,171.0,0.0,0.0,6.393290835688404,0.0,2.0180231061791383,0.0,2023-05-31T00:00:00+00:00,22,SYN-WELL-0022,24.936910756438582,87.8137458134363,True
7.24,628.0,408.2,0.0,24.0,0.0,110.0,92.0,270.0,80.0,16.0,13.0,10.0,67.0,0.0,0.02,12.830039804025267,0.0,6.798287589568772,4.355636037978651,2023-01-18T00:00:00+00:00,24,SYN-WELL-0024,22.15405959591173,86.919483261393,True
7.71,771.0,639.1511685430858,0.33,28.0,0.17,138.0,40.0,245.0,66.0,21.0,52.0,12.0,128.0,0.0,0.0,4.914492769352531,0.0,5.3582878003750025,0.0,2024-08-20T00:00:00+00:00,40,SYN-WELL-0040,22.483092359496087,85.33275642275633,True
7.4,678.0,440.7,0.3,10.0,0.06,46.0,25.0,220.0,26.0,23.0,31.0,9.0,232.0,0.0,0.0,1.5299895251380349,0.0,4.52328833190404,7.106820325289426,2025-02-10T00:00:00+00:00,8,SYN-WELL-0008,22.4392894934468,83.89572839194129,True
7.73,492.0,313.95,0.0,3.0,0.33,28.0,23.0,210.0,42.0,21.0,17.0,5.0,195.0,0.0,0.05,5.346042732656653,1.4356215109339303,4.9814402409958936,0.0,2025-03-28T00:00:00+00:00,17,SYN-WELL-0017,23.013825343219143,83.59675024088442,True
7.75,952.0,903.0993524580426,0.0,44.0,0.09,146.0,80.0,335.0,88.0,29.0,45.0,11.0,262.0,0.0,0.0,0.0,0.7073922604257995,5.113446777740915,0.28719470556305193,2023-10-02T00:00:00+00:00,30,SYN-WELL-0030,24.275097391145856,86.76314402497135,True
7.8,753.0,677.0879173564433,0.32,12.0,0.86,46.0,16.0,275.0,38.0,35.0,40.0,6.0,378.0,0.0,0.0,11.853658939218782,0.42902726612061476,7.735146768864903,3.487193983874757,2024-07-05T00:00:00+00:00,34,SYN-WELL-0034,22.02949225596851,85.4834345224325,True
7.63,1148.0,735.8000000000001,0.0,15.0,0.26,238.0,82.0,440.0,64.0,63.0,42.0,6.0,244.0,0.0,0.0,5.11956486704817,0.0,11.220288593847322,5.2800262445640485,2025-08-02T00:00:00+00:00,14,SYN-WELL-0014,24.171514120002065,85.36187602454709,True
7.96,885.0,575.25,0.0,2.0,0.61,64.0,14.0,360.0,80.0,49.0,29.0,3.0,372.0,0.0,0.0,0.0,0.0,7.595767483470688,2.4562615064187234,2023-04-15T00:00:00+00:00,5,SYN-WELL-0005,24.682551608576887,87.83664393511091,True
8.12,1214.2335610501987,622.8783082644337,44.58368967662603,0.0,0.84,21.0,6.0,160.0,44.0,13.0,13.0,0.0,177.0,0.0,0.0,2.999227203442749,0.44836102826912916,4.382413585398439,9.576334706931526,2024-02-25T00:00:00+00:00,25,SYN-WELL-0025,22.934843622076986,84.20506999151165,True
7.81,1355.1476576107193,1112.1611001006079,30.933961270955834,2.0,0.31,28.0,42.0,195.0,68.0,9.0,15.0,3.0,220.0,0.0,0.0,0.8377826076183057,1.8293429758387838,6.533607283713502,6.392958328769117,2025-10-31T00:00:00+00:00,31,SYN-WELL-0031,23.372354015040244,87.79892025581908,True
7.75,285.0,500.0,0.0,12.0,0.86,18.0,5.0,145.0,22.0,22.0,11.0,3.0,134.0,0.0,0.02,11.870019860901003,0.0,6.611992498903471,6.078899016256834,2023-08-07T00:00:00+00:00,38,SYN-WELL-0038,22.514451226617606,84.35512847308661,True
7.56,809.0,869.734023388116,0.0,9.0,0.69,114.0,47.0,270.0,50.0,29.0,38.0,28.0,238.0,0.0,0.22,2.786559463317645,1.0546586100887065,3.734710699595004,0.0,2023-12-13T00:00:00+00:00,0,SYN-WELL-0000,22.64967870866288,86.89889562578523,True
7.63,252.0,500.0,0.0,32.0,0.0,46.0,15.0,85.0,28.0,6.0,8.0,0.0,49.0,0.0,0.0,4.9321944766935575,0.11406831462752742,3.130561265002773,10.297471590181612,2024-05-27T00:00:00+00:00,0,SYN-WELL-0000,22.64967870866288,86.89889562578523,True
8.24,897.0,836.1024549319554,0.0,31.0,0.31,53.0,39.0,220.0,40.0,27.0,76.0,0.0,360.0,0.0,0.2,7.442358739907751,0.4886674815022066,5.2860943279497805,0.28773942288595356,2025-01-23T00:00:00+00:00,19,SYN-WELL-0019,23.478510862313268,86.2372394559176,True
7.79,758.0,491.40000000000003,3.01,44.0,0.3,131.0,84.0,240.0,46.0,30.0,36.0,8.0,128.0,0.0,0.09,0.0,1.3002786942250522,6.853873684862583,10.450169731948376,2023-10-07T00:00:00+00:00,28,SYN-WELL-0028,23.899612533194475,84.0174461381141,True
7.39,1932.0734041072378,860.0075857018139,57.20460046972835,18.0,0.65,14.0,76.0,185.0,44.0,21.0,19.0,4.0,250.0,0.0,0.0,5.162256796810943,0.2078338588834191,2.498745118317429,11.588780227702285,2025-05-17T00:00:00+00:00,0,SYN-WELL-0000,22.64967870866288,86.89889562578523,True
7.91,1016.0,658.45,13.16,28.0,0.28,224.0,60.0,250.0,124.0,13.0,99.0,16.0,214.0,0.0,0.0,5.646613416365259,0.0,4.102383838222069,5.5506261294551,2023-09-16T00:00:00+00:00,8,SYN-WELL-0008,22.4392894934468,83.89572839194129,True
7.82,2355.608128099628,1361.5099885446264,25.46207698110707,7.0,1.2,78.0,31.0,295.0,62.0,34.0,43.0,1.0,281.0,0.0,0.0,0.0,1.4426493878873345,6.4307730761827315,7.628052390717683,2024-02-08T00:00:00+00:00,20,SYN-WELL-0020,22.701046354868353,86.82510799139699,True
7.63,766.0,492.7,0.61,2.0,0.86,60.0,33.0,240.0,122.0,10.0,52.0,5.0,268.0,0.0,0.0,5.51617893266566,0.48189047477951674,5.475102503887045,0.0,2024-09-19T00:00:00+00:00,13,SYN-WELL-0013,24.62749600095609,87.12584150170936,True
7.95,1158.0,1000.0,0.32,37.0,0.66,114.0,86.0,355.0,124.0,19.0,92.0,6.0,342.0,0.0,0.0,3.725427610341165,1.213843563410314,7.949292517078192,2.7199903380384907,2023-01-14T00:00:00+00:00,35,SYN-WELL-0035,22.265167512714747,84.18104181974192,True
7.56,554.0,358.15000000000003,0.22,1.0,0.72,36.0,32.0,180.0,22.0,33.0,23.0,5.0,183.0,0.0,0.0,4.7797977526959805,0.0,2.859538582662582,7.908662559678159,2025-04-20T00:00:00+00:00,1,SYN-WELL-0001,21.975767944128517,85.34078474484704,True
8.02,804.0,525.85,6.32,9.0,0.17,67.0,31.0,190.0,64.0,11.0,84.0,5.0,348.0,0.0,0.0,4.2137782809434,1.4346719462726831,9.63389688020902,7.198041073256338,2025-01-02T00:00:00+00:00,44,SYN-WELL-0044,23.005292312017566,87.17000807648769,True
7.18,2256.945862130824,981.086181220428,33.87885149016017,9.0,0.06,92.0,64.0,275.0,64.0,23.0,20.0,25.0,195.0,0.0,0.3,5.555019237700492,0.6415390921742277,2.6316136015747573,0.0,2025-07-03T00:00:00+00:00,8,SYN-WELL-0008,22.4392894934468,83.89572839194129,True
7.82,906.0,597.35,0.0,5.0,0.36,114.0,40.0,345.0,86.0,29.0,70.0,0.0,275.0,0.0,0.11,12.024059354056948,0.7543513383502611,1.7475053061091312,2.325111840528505,2023-10-29T00:00:00+00:00,22,SYN-WELL-0022,24.936910756438582,87.8137458134363,True
7.51,391.0,644.7746323956094,3.82,2.0,0.69,25.0,69.0,165.0,50.0,7.0,31.0,0.0,177.0,0.0,0.0,0.0,0.5421405180004223,5.293956996904848,0.0,2024-03-11T00:00:00+00:00,49,SYN-WELL-0049,25.3166418259233,83.94984904878329,True
7.64,391.0,598.7066572125683,4.73,23.0,0.47,32.0,28.0,195.0,48.0,16.0,12.0,0.0,134.0,0.0,0.0,1.9470859869974793,0.09616751260244893,3.3579739291571835,5.151971360691014,2025-09-10T00:00:00+00:00,33,SYN-WELL-0033,22.534405219676962,85.02263763306215,True
7.92,1093.0,705.9,3.48,2.0,0.15,71.0,26.0,365.0,76.0,32.0,56.0,6.0,458.0,0.0,0.0,7.999711773777019,0.4488220326535198,5.330239804719218,0.0,2023-03-15T00:00:00+00:00,49,SYN-WELL-0049,25.3166418259233,83.94984904878329,True
7.0,1595.1172743223103,1024.1573829612466,58.308572256396644,47.0,0.06,75.0,10.0,140.0,30.0,9.0,12.0,0.0,67.0,0.0,0.08,6.885555206367466,0.14018683340744365,5.2672916178816,8.021911371150287,2024-06-21T00:00:00+00:00,0,SYN-WELL-0000,22.64967870866288,86.89889562578523,True
7.89,512.0,324.35,0.01,20.0,0.4,64.0,33.0,140.0,28.0,12.0,44.0,15.0,128.0,0.0,0.0,6.756433320052505,1.1216822438513498,5.047606418206624,8.230899442869635,2024-06-13T00:00:00+00:00,35,SYN-WELL-0035,22.265167512714747,84.18104181974192,True
8.01,1621.0,1045.8500000000001,11.13,27.0,1.51,149.0,102.0,375.0,88.0,29.0,145.0,40.0,512.0,0.0,0.0,20.521463294040025,0.3078599830519364,3.883660142045798,1.6025327423740054,2024-05-05T00:00:00+00:00,3,SYN-WELL-0003,24.276977998072113,86.54276133512604,True
8.01,505.0,324.35,8.39,25.0,0.47,46.0,5.0,200.0,52.0,13.0,19.0,3.0,244.0,0.0,0.23,7.684813144700236,0.0,6.178781074643444,5.585103721816354,2024-04-19T00:00:00+00:00,30,SYN-WELL-0030,24.275097391145856,86.76314402497135,True
7.32,2629.992263718333,992.6439144639281,33.248443043576444,5.0,0.86,32.0,34.0,305.0,48.0,33.0,41.0,13.0,378.0,0.0,0.08,10.78562677753015,0.0,4.828793193419095,2.631605103757966,2025-03-29T00:00:00+00:00,16,SYN-WELL-0016,23.907225062608948,85.87881925962363,True
7.75,525.0,341.25,1.59,4.0,0.0,50.0,9.0,85.0,24.0,11.0,49.0,3.0,195.0,0.0,0.03,2.1575676468849494,0.0,7.386596767358575,4.467633580059465,2023-08-04T00:00:00+00:00,38,SYN-WELL-0038,22.514451226617606,84.35512847308661,True
7.3,1890.4763000349221,854.2658230771439,49.160286721639494,3.0,0.0,14.0,5.0,80.0,26.0,6.0,7.0,1.0,73.0,0.0,0.0,0.0,0.8825795302877589,5.075329945449048,0.0,2025-09-02T00:00:00+00:00,6,SYN-WELL-0006,23.55620521438419,86.83929961425514,True
7.75,1089.0,859.6541945736924,0.24,44.0,0.29,128.0,78.0,280.0,82.0,16.0,102.0,10.0,311.0,0.0,0.13,2.1140954245981964,0.0,3.663634638840139,5.989970492959637,2025-09-08T00:00:00+00:00,44,SYN-WELL-0044,23.005292312017566,87.17000807648769,True
7.82,202.0,131.3,0.0,0.0,0.17,21.0,6.0,70.0,24.0,9.0,7.0,7.0,61.0,0.0,0.15,8.271761028060425,0.6600600430869967,2.3621210066819063,0.0,2023-07-16T00:00:00+00:00,24,SYN-WELL-0024,22.15405959591173,86.919483261393,True
7.78,2456.173561649092,1357.6648553804473,24.676884560255356,41.0,1.36,32.0,27.0,350.0,56.0,60.0,46.0,3.0,427.0,0.0,0.0,6.4409671289750525,0.5456021622439893,5.090203023392932,0.0,2025-12-02T00:00:00+00:00,25,SYN-WELL-0025,22.934843622076986,84.20506999151165,True
7.99,885.0,881.662651431314,0.32,2.0,0.53,163.0,15.0,270.0,62.0,29.0,74.0,18.0,275.0,0.0,0.0,6.4195082235932786,0.404703983563156,3.11543177154728,3.0122867333320325,2023-10-14T00:00:00+00:00,28,SYN-WELL-0028,23.899612533194475,84.0174461381141,True
7.83,1172.0,1000.0,7.1,13.0,0.75,163.0,31.0,310.0,50.0,47.0,92.0,9.0,342.0,0.0,0.1,2.7139336792172335,0.7568836423676586,2.9700686627914,2.655026881554882,2023-02-26T00:00:00+00:00,1,SYN-WELL-0001,21.975767944128517,85.34078474484704,True
8.11,678.0,437.45,0.0,25.0,0.1,67.0,11.0,220.0,36.0,39.0,34.0,6.0,214.0,0.0,0.0,1.757184287122148,0.5608124759633684,6.349423156464577,4.589206922207001,2024-03-11T00:00:00+00:00,15,SYN-WELL-0015,23.887527902302985,84.3566600562992,True
8.01,2384.594188221843,1507.6177737029393,26.82096494749166,47.0,0.26,110.0,94.0,440.0,122.0,32.0,84.0,9.0,336.0,0.0,0.08,2.920856534240333,0.0,2.2001938899058953,0.9019700390546843,2025-05-21T00:00:00+00:00,35,SYN-WELL-0035,22.265167512714747,84.18104181974192,True
7.92,1035.0,817.2245895407367,2.51,7.0,1.03,82.0,34.0,305.0,64.0,29.0,46.0,6.0,293.0,0.0,0.06,8.346852700991278,0.2234623314060569,7.941948080999243,11.042766663142357,2025-07-13T00:00:00+00:00,48,SYN-WELL-0048,22.363020657421803,86.47360409348364,True
7.66,512.0,500.0,0.65,1.0,0.28,50.0,15.0,250.0,28.0,50.0,12.0,10.0,183.0,0.0,0.0,9.044364569022509,0.7475721938444018,5.687489491911973,4.142419957517768,2024-12-08T00:00:00+00:00,49,SYN-WELL-0049,25.3166418259233,83.94984904878329,True
8.01,2980.5351375517657,1709.007901529717,27.406765069763807,23.0,0.55,199.0,91.0,560.0,62.0,130.0,92.0,13.0,555.0,0.0,0.12,0.0,1.5981979675284987,5.32108326415507,4.4315271140649015,2025-06-07T00:00:00+00:00,26,SYN-WELL-0026,22.97757815218339,85.47025266733071,True
7.91,1998.8195536246394,1242.182942983327,51.407038455720546,42.0,0.41,60.0,8.0,210.0,80.0,7.0,15.0,10.0,183.0,0.0,0.02,8.574055356588696,1.6305203316077481,3.5374213070089455,4.288935509628183,2023-10-14T00:00:00+00:00,12,SYN-WELL-0012,23.92832637268416,86.29397280837509,True
